total_size,file_size,total_time
2,128,.647812276
2,256,.535549904
2,512,.471424218
2,1024,.435704407
2,2048,.425356925
2,4096,.414457067
2,8192,.479182436
2,16384,.513483963
2,32768,1.006386723
2,65536,.890854521
2,131072,1.019860456
4,128,1.189849329
4,256,1.015125075
4,512,.858658455
4,1024,.785573684
4,2048,.742587656
4,4096,.780536468
4,8192,.817981186
4,16384,.881097013
4,32768,1.964449639
4,65536,1.742731657
4,131072,1.955532072
8,128,2.305522526
8,256,1.777215144
8,512,1.538594543
8,1024,1.433579844
8,2048,1.359051030
8,4096,1.304864944
8,8192,1.518635023
8,16384,1.640904211
8,32768,3.628462202
8,65536,3.625411393
8,131072,3.719001063
16,128,4.914339547
16,256,3.470056579
16,512,2.931387928
16,1024,2.662891168
16,2048,2.513218151
16,4096,2.536136236
16,8192,2.784680619
16,16384,3.268200733
16,32768,7.191321438
16,65536,6.998506689
16,131072,7.097499801
32,128,38.950907790
32,256,24.298584182
32,512,16.981180591
32,1024,13.885005311
32,2048,13.828419154
32,4096,13.382176475
32,8192,13.203001430
32,16384,12.581300925
32,32768,17.468246149
32,65536,16.663399228
32,131072,17.790410544
