iomode=local, disk_util=99.96%
Total size: 2GB, File size: 128KB, Total time: .647812276 seconds
Total size: 2GB, File size: 256KB, Total time: .535549904 seconds
Total size: 2GB, File size: 512KB, Total time: .471424218 seconds
Total size: 2GB, File size: 1024KB, Total time: .435704407 seconds
Total size: 2GB, File size: 2048KB, Total time: .425356925 seconds
Total size: 2GB, File size: 4096KB, Total time: .414457067 seconds
Total size: 2GB, File size: 8192KB, Total time: .479182436 seconds
Total size: 2GB, File size: 16384KB, Total time: .513483963 seconds
Total size: 2GB, File size: 32768KB, Total time: 1.006386723 seconds
Total size: 2GB, File size: 65536KB, Total time: .890854521 seconds
Total size: 2GB, File size: 131072KB, Total time: 1.019860456 seconds
Total size: 4GB, File size: 128KB, Total time: 1.189849329 seconds
Total size: 4GB, File size: 256KB, Total time: 1.015125075 seconds
Total size: 4GB, File size: 512KB, Total time: .858658455 seconds
Total size: 4GB, File size: 1024KB, Total time: .785573684 seconds
Total size: 4GB, File size: 2048KB, Total time: .742587656 seconds
Total size: 4GB, File size: 4096KB, Total time: .780536468 seconds
Total size: 4GB, File size: 8192KB, Total time: .817981186 seconds
Total size: 4GB, File size: 16384KB, Total time: .881097013 seconds
Total size: 4GB, File size: 32768KB, Total time: 1.964449639 seconds
Total size: 4GB, File size: 65536KB, Total time: 1.742731657 seconds
Total size: 4GB, File size: 131072KB, Total time: 1.955532072 seconds
Total size: 8GB, File size: 128KB, Total time: 2.305522526 seconds
Total size: 8GB, File size: 256KB, Total time: 1.777215144 seconds
Total size: 8GB, File size: 512KB, Total time: 1.538594543 seconds
Total size: 8GB, File size: 1024KB, Total time: 1.433579844 seconds
Total size: 8GB, File size: 2048KB, Total time: 1.359051030 seconds
Total size: 8GB, File size: 4096KB, Total time: 1.304864944 seconds
Total size: 8GB, File size: 8192KB, Total time: 1.518635023 seconds
Total size: 8GB, File size: 16384KB, Total time: 1.640904211 seconds
Total size: 8GB, File size: 32768KB, Total time: 3.628462202 seconds
Total size: 8GB, File size: 65536KB, Total time: 3.625411393 seconds
Total size: 8GB, File size: 131072KB, Total time: 3.719001063 seconds
Total size: 16GB, File size: 128KB, Total time: 4.914339547 seconds
Total size: 16GB, File size: 256KB, Total time: 3.470056579 seconds
Total size: 16GB, File size: 512KB, Total time: 2.931387928 seconds
Total size: 16GB, File size: 1024KB, Total time: 2.662891168 seconds
Total size: 16GB, File size: 2048KB, Total time: 2.513218151 seconds
Total size: 16GB, File size: 4096KB, Total time: 2.536136236 seconds
Total size: 16GB, File size: 8192KB, Total time: 2.784680619 seconds
Total size: 16GB, File size: 16384KB, Total time: 3.268200733 seconds
Total size: 16GB, File size: 32768KB, Total time: 7.191321438 seconds
Total size: 16GB, File size: 65536KB, Total time: 6.998506689 seconds
Total size: 16GB, File size: 131072KB, Total time: 7.097499801 seconds
Total size: 32GB, File size: 128KB, Total time: 38.950907790 seconds
Total size: 32GB, File size: 256KB, Total time: 24.298584182 seconds
Total size: 32GB, File size: 512KB, Total time: 16.981180591 seconds
Total size: 32GB, File size: 1024KB, Total time: 13.885005311 seconds
Total size: 32GB, File size: 2048KB, Total time: 13.828419154 seconds
Total size: 32GB, File size: 4096KB, Total time: 13.382176475 seconds
Total size: 32GB, File size: 8192KB, Total time: 13.203001430 seconds
Total size: 32GB, File size: 16384KB, Total time: 12.581300925 seconds
Total size: 32GB, File size: 32768KB, Total time: 17.468246149 seconds
Total size: 32GB, File size: 65536KB, Total time: 16.663399228 seconds
Total size: 32GB, File size: 131072KB, Total time: 17.790410544 seconds
