io_mode,bandwidth,total_size,block_size,latency
0,0.0,30.0,17.0,0.334111213684082
0,0.0,30.0,18.0,0.2701306343078613
0,0.0,30.0,19.0,0.2409780025482177
0,0.0,30.0,20.0,0.2279715538024902
0,0.0,30.0,21.0,0.3182013034820556
0,0.0,30.0,22.0,0.6017913818359375
0,0.0,30.0,23.0,1.372650146484375
0,0.0,30.0,24.0,2.712830781936645
0,0.0,30.0,25.0,2.796337842941284
0,0.0,30.0,26.0,2.8325767517089844
0,0.0,30.0,27.0,2.7978768348693848
0,0.0,30.0,28.0,2.8360390663146973
0,0.0,30.0,29.0,2.7808237075805664
0,0.0,30.0,30.0,2.7428762912750244
0,0.0,31.0,17.0,0.6507155895233154
0,0.0,31.0,18.0,0.543776273727417
0,0.0,31.0,19.0,0.4528312683105469
0,0.0,31.0,20.0,0.4367311000823974
0,0.0,31.0,21.0,0.5439138412475586
0,0.0,31.0,22.0,1.290843486785889
0,0.0,31.0,23.0,3.5246694087982178
0,0.0,31.0,24.0,5.703250169754028
0,0.0,31.0,25.0,5.823713064193726
0,0.0,31.0,26.0,5.8003809452056885
0,0.0,31.0,27.0,5.721903800964356
0,0.0,31.0,28.0,5.664651870727539
0,0.0,31.0,29.0,5.55164647102356
0,0.0,31.0,30.0,5.69628119468689
0,0.0,32.0,17.0,1.299574851989746
0,0.0,32.0,18.0,1.033524751663208
0,0.0,32.0,19.0,0.8931872844696045
0,0.0,32.0,20.0,0.8345444202423096
0,0.0,32.0,21.0,0.9011681079864502
0,0.0,32.0,22.0,1.62115478515625
0,0.0,32.0,23.0,4.689762115478516
0,0.0,32.0,24.0,11.147469758987429
0,0.0,32.0,25.0,11.767729043960571
0,0.0,32.0,26.0,11.589534759521484
0,0.0,32.0,27.0,11.359477758407593
0,0.0,32.0,28.0,11.38959574699402
0,0.0,32.0,29.0,11.258283615112305
0,0.0,32.0,30.0,11.304041147232056
0,0.0,33.0,17.0,2.742640733718872
0,0.0,33.0,18.0,2.009066343307495
0,0.0,33.0,19.0,1.7107212543487549
0,0.0,33.0,20.0,1.6035711765289309
0,0.0,33.0,21.0,1.824750900268555
0,0.0,33.0,22.0,2.8571059703826904
0,0.0,33.0,23.0,7.367196083068848
0,0.0,33.0,24.0,20.93645977973938
0,0.0,33.0,25.0,22.875406503677368
0,0.0,33.0,26.0,22.64795446395874
0,0.0,33.0,27.0,22.907451391220093
0,0.0,33.0,28.0,22.488504648208615
0,0.0,33.0,29.0,22.55384397506714
0,0.0,33.0,30.0,22.47848463058472
1,1.0,30.0,17.0,14.881216764450071
1,1.0,30.0,18.0,12.486314535140991
1,1.0,30.0,19.0,11.71138072013855
1,1.0,30.0,20.0,11.520499467849731
1,1.0,30.0,21.0,11.083030462265016
1,1.0,30.0,22.0,10.002647638320925
1,1.0,30.0,23.0,9.468007802963257
1,1.0,30.0,24.0,9.232660055160522
1,1.0,30.0,25.0,9.252070665359495
1,1.0,30.0,26.0,9.159867525100708
1,1.0,30.0,27.0,9.122751235961914
1,1.0,30.0,28.0,9.071165561676024
1,1.0,30.0,29.0,9.035463571548462
1,1.0,30.0,30.0,9.02295422554016
1,1.0,31.0,17.0,35.666912317276
1,1.0,31.0,18.0,26.481266975402832
1,1.0,31.0,19.0,23.19601845741272
1,1.0,31.0,20.0,22.58838129043579
1,1.0,31.0,21.0,22.140065908432007
1,1.0,31.0,22.0,19.65142607688904
1,1.0,31.0,23.0,18.90000343322754
1,1.0,31.0,24.0,18.447405576705933
1,1.0,31.0,25.0,18.553256034851078
1,1.0,31.0,26.0,18.56281018257141
1,1.0,31.0,27.0,18.23164796829224
1,1.0,31.0,28.0,18.162365436553955
1,1.0,31.0,29.0,18.09749722480774
1,1.0,31.0,30.0,18.06892156600952
1,1.0,32.0,17.0,92.179762840271
1,1.0,32.0,18.0,75.25739884376526
1,1.0,32.0,19.0,58.4780969619751
1,1.0,32.0,20.0,45.30961346626282
1,1.0,32.0,21.0,43.56902742385864
1,1.0,32.0,22.0,43.881747245788574
1,1.0,32.0,23.0,37.89244627952576
1,1.0,32.0,24.0,39.313987493515015
1,1.0,32.0,25.0,36.99205708503723
1,1.0,32.0,26.0,36.81326150894165
1,1.0,32.0,27.0,36.497159242630005
1,1.0,32.0,28.0,36.37410283088684
1,1.0,32.0,29.0,36.22811913490296
1,1.0,32.0,30.0,36.13694906234741
1,1.0,33.0,17.0,161.77935528755188
1,1.0,33.0,18.0,122.75187730789185
1,1.0,33.0,19.0,102.3038239479065
1,1.0,33.0,20.0,91.77419519424438
1,1.0,33.0,21.0,88.28221249580383
1,1.0,33.0,22.0,79.53178834915161
1,1.0,33.0,23.0,75.57661128044128
1,1.0,33.0,24.0,73.7510359287262
1,1.0,33.0,25.0,73.93041110038757
1,1.0,33.0,26.0,73.37250232696533
1,1.0,33.0,27.0,73.03910613059998
