threadpool_size,block_size,batch_completion_time
8,160,1.7414157265111019
4,80,1.589201437799554
1,120,1.7493843091161627
4,220,1.7093002670689632
2,260,1.720593998306676
1,260,1.819249247249804
2,160,1.6942399112801803
4,300,1.7912212798469944
1,160,1.7353099898288125
4,120,1.7056801821056164
4,240,1.7367819359428005
1,120,1.691882378176639
8,100,1.750229929622851
4,80,1.6545223499599255
2,120,1.741073677414342
2,60,1.689190845740469
1,120,1.6655482116498446
1,20,1.7067549479635138
2,20,1.589099513856988
2,40,1.6625639451177496
