threadpool_size,block_size,batch_completion_time
2,160,1.2807978077938682
1,40,1.1981554784272845
2,20,1.2264994445600008
1,180,1.2789003911771273
1,120,1.3550654273284108
8,100,1.3315364373357672
1,200,1.3137324985704923
2,80,1.2606361288773387
8,60,1.2904043574082225
4,40,1.23902848519777
4,40,1.250766911004719
8,120,1.320791106475027
1,20,1.291679062341389
4,160,1.2777509814814518
4,160,1.3432886600494385
4,160,1.3356029548143085
2,40,1.1883690231724788
2,280,1.2795573598460148
4,220,1.346260196284244
1,200,1.3909990787506104
