threadpool_size,block_size,batch_completion_time
8,240,1.1351946278622276
2,220,0.9290361718127602
4,120,1.0212962062735307
2,200,0.9883630903143632
1,260,0.9746839247251812
4,100,0.9723607615420693
2,300,0.9963868354496203
8,60,0.96622465786181
1,260,0.9563817475971422
4,240,0.8994902623327155
8,180,1.043414460985284
8,60,0.967719925077338
8,240,1.0703451507969906
1,100,0.9397714953673514
1,160,0.9588057116458291
4,40,0.9575386988489252
4,60,0.9305310374812076
4,300,1.0981624691109908
4,120,0.9424694776535034
1,20,0.9510509152161447
