threadpool_size,block_size,batch_completion_time
1,140,0.7367683209870991
8,260,0.7535987465005172
8,180,0.8313923509497392
1,240,0.7553327522779766
8,100,0.82658556887978
8,180,0.8625737805115549
1,100,0.7002515228171098
4,100,0.7799670759000277
1,100,0.71383714048486
2,220,0.7365908873708624
8,200,0.8351543451610365
8,180,0.8718404205221879
2,100,0.7282164410540932
1,280,0.712959485176282
4,140,0.7255818153682508
1,220,0.7668552963357222
8,300,0.8288316036525526
2,160,0.7490072877783525
4,100,0.7687950322502538
4,260,0.7425229047474108
