threadpool_size,block_size,batch_completion_time
2,260,1.9275426550915367
4,60,1.8243815020511025
8,60,1.8662249163577431
1,120,1.8681678270038806
8,20,1.9371145273509778
8,20,1.932008931511327
8,120,1.8501198919195878
2,180,1.9327198266983032
4,40,1.8331917398854305
2,60,1.8966584644819562
2,180,1.9524445847461098
4,180,1.8663968098791022
2,180,1.9483158149217303
4,160,1.876475585134406
2,60,1.8903867633719194
1,20,1.9181927191583734
1,220,1.8907516128138493
2,140,1.9137086429094012
2,260,1.8808593122582686
1,40,1.903580722055937
