threadpool_size,block_size,batch_completion_time
8,300,1.680402003801786
1,140,1.7031940410011692
4,260,1.7237706058903743
4,40,1.6196901860990023
1,300,1.736311478492541
1,300,1.7951955356095965
4,160,1.6780541256854409
2,180,1.7352983010442633
1,260,1.74585979863217
4,240,1.6727650353783055
2,140,1.6970356765546297
4,160,1.6658374949505454
1,240,1.768354252765053
2,260,1.7003180917940641
4,200,1.749953175845899
1,40,1.7556557655334473
4,20,1.7831658815082752
2,160,1.9737180032228168
2,200,2.105393089746174
2,60,1.9898168162295693
