threadpool_size,block_size,batch_completion_time
8,280,1.930655793139809
1,240,1.7862533707367747
4,240,1.9184848634820235
4,60,1.8112635549746061
4,120,1.912167982051247
4,180,1.9389020518252724
2,80,1.7421963465841193
8,280,1.9194373645280536
1,60,1.4967521993737471
8,240,1.662703840356124
8,240,1.5530356043263485
4,40,1.2220576562379535
4,300,1.4220360392018367
1,60,1.2515418654993962
2,100,1.3087668230659084
1,240,1.333073521915235
2,160,1.2959970549533242
2,260,1.3196454801057513
1,280,1.2516855582212791
8,260,1.3219305025903803
