threadpool_size,block_size,batch_completion_time
4,280,1.0004827850743343
2,260,0.9836070474825407
8,180,1.0106494740435952
8,300,0.9922138666495298
4,300,0.9577535482553335
1,200,0.9416173884743139
2,140,0.9213605993672421
1,20,0.9442051147159777
2,40,0.9197631948872617
1,240,0.918419787758275
2,200,0.9786122535404406
2,260,1.0015271525633962
2,20,0.9365473483738146
1,260,0.912536809318944
2,40,0.9897662714907998
4,100,1.0120765849163658
8,140,1.0926712688646818
4,220,1.0931116217061092
8,180,1.1116331439269216
8,40,1.015029656259637
